type,bridge,MV
Monet,0.92985386,0.10604131
Monet,0.69649565,0.14810768
Monet,0.79544646,0.23058504
Monet,0.7449349,0.14158407
Monet,0.80690986,0.040181708
Monet,0.8129187,0.26941302
Monet,0.5228005,0.24994591
Monet,0.7945049,0.24223863
Monet,0.7522425,0.29365718
Monet,0.7746818,0.25131738
Monet,0.7729763,0.30770206
Monet,0.7321747,0.26059547
Monet,0.74014235,0.17750046
Monet,0.88467765,0.15859124
Monet,0.90354633,0.106791414
Monet,0.92600733,0.19682303
Monet,0.7952822,0.12528762
Monet,0.8632412,0.26805323
Monet,0.42184383,0.2782199
Monet,0.7283213,0.02229799
Monet,0.7634443,0.22758374
Monet,0.7035998,0.15222386
Monet,0.78768206,0.25456625
Monet,0.8052667,0.16080591
Monet,0.7152478,0.20239721
Monet,0.042662516,0.4389618
Monet,0.9390487,0.17192787
Monet,0.6783191,0.27251202
Monet,0.82363063,0.1465603
Monet,0.8072254,0.08128446
Monet,0.6252117,0.2425525
Monet,0.8343954,0.1726019
Monet,0.8807674,0.19245805
Monet,0.74601823,0.22850585
Monet,0.84585416,0.16059595
Monet,0.8154982,0.19918081
Monet,0.75411886,0.13300839
Monet,0.75428635,0.2395223
Monet,0.9199364,0.2273493
Monet,0.89444387,0.26803446
Monet,0.79570144,0.19662672
Monet,0.9024377,0.2884898
Monet,0.86534566,0.21045011
Monet,0.8097107,0.23866312
Monet,0.81164014,0.13265213
Monet,0.9038115,0.15741749
Monet,0.9919927,0.17123468
Monet,0.76921624,0.16331372
Monet,0.8475087,0.18633255
Monet,0.8400993,0.12389399
Monet,0.715882,0.18621959
Monet,0.3128353,0.25528178
Monet,0.8428218,0.21989347
Monet,0.8565241,0.013842901
Monet,0.79718834,0.12708806
Monet,0.9090085,0.2280909
Monet,0.16110998,0.46187797
Monet,0.71627057,0.31491515
Monet,0.9073248,0.21242575
Monet,0.70298046,0.27391028
Monet,0.8828701,0.1419373
Monet,0.8774945,0.21554056
Monet,0.812321,0.13702527
Monet,0.75184655,0.15472049
Monet,0.80865175,0.12948112
Monet,0.70383555,0.28585574
Monet,0.818791,0.19753022
Monet,0.854153,0.14637977
Monet,0.8832533,0.14300448
Monet,0.7765645,0.13417363
Monet,0.9251757,0.22459838
Monet,0.9180463,0.24413517
Monet,0.6850261,0.13343611
Monet,0.75059676,0.25757235
Monet,0.89900845,0.054536913
Monet,0.80945885,0.25180733
Monet,0.72509074,0.22425933
Monet,0.9633993,0.17334136
Monet,0.8667005,0.0
Monet,0.8192258,0.35012576
Monet,0.8711753,0.24187954
Monet,0.6276771,0.17768222
Monet,0.90891933,0.069672376
Monet,0.8299233,0.12805788
Monet,0.7932678,0.25140977
Monet,0.85283417,0.30570233
Monet,1.0,0.20098212
Monet,0.18587741,0.45138377
Monet,0.8415983,0.10264633
Monet,0.7518651,0.21896763
Monet,0.70692945,0.25418603
Monet,0.8265093,0.11542738
Monet,0.81226,0.13056107
Monet,0.8197647,0.18873395
Monet,0.26775634,0.42441013
Monet,0.7888499,0.13712582
Monet,0.7669535,0.05597187
Monet,0.83144933,0.19397724
Monet,0.34358034,0.27428675
Monet,0.68471575,0.24079357
Monet,0.78718984,0.18845093
Monet,0.8194771,0.20313455
Monet,0.74125636,0.20719948
Monet,0.91001433,0.14177948
Monet,0.9206699,0.27939206
